Country,Gini
India,34.2
China,37.1
United States of America,39.8
Indonesia,37.9
Pakistan,29.6
Nigeria,35.1
Brazil,52.9
Bangladesh,31.8
Russia,36
Ethiopia,35
Mexico,45.4
Japan,32.9
Egypt,31.9
Philippines,40.7
Dem. Rep. Congo,42.1
Vietnam,36.8
Iran,40.9
Turkey,41.9
Germany,31.7
Thailand,35.1
United Kingdom,32.6
Tanzania,40.5
France,30.7
South Africa,63
Italy,35.2
Kenya,38.7
Myanmar,30.7
Colombia,51.5
South Korea,31.4
Sudan,34.2
Uganda,42.7
Spain,34.9
Algeria,27.6
Iraq,29.5
Argentina,42
Afghanistan,29.4
Yemen,36.7
Canada,31.7
Poland,28.8
Morocco,39.5
Angola,51.3
Ukraine,25.6
Uzbekistan,35.3
Malaysia,41.2
Mozambique,50.5
Ghana,43.5
Peru,40.2
Saudi Arabia,45.9
Madagascar,42.6
Côte d'Ivoire,37.2
Nepal,32.8
Cameroon,46.6
Venezuela,44.8
Niger,37.3
Australia,34.3
Syria,37.5
Mali,36
Burkina Faso,43
Taiwan,33.6
Sri Lanka,37.7
Malawi,38.5
Zambia,55.9
Kazakhstan,27.8
Chad,37.5
Chile,44.9
Romania,34.6
Somalia,36.8
Senegal,38.3
Guatemala,48.3
Netherlands,26
Ecuador,45.5
Cambodia,37.9
Zimbabwe,50.3
Guinea,48.3
Benin,37.9
Rwanda,43.7
Burundi,38.6
Bolivia,40.9
Tunisia,32.8
S. Sudan,44.1
Haiti,41.1
Belgium,26
Jordan,33.7
Dominican Rep.,38.5
Honduras,48.2
Czechia,26.2
Sweden,28.9
Tajikistan,34
Papua New Guinea,41.9
Portugal,34.7
Greece,33.6
Hungary,29.7
Togo,42.5
Israel,38.6
Austria,29.8
Belarus,24.4
Switzerland,33.1
Sierra Leone,35.7
Laos,38.8
Turkmenistan,40.8
Hong Kong,53.9
Kyrgyzstan,29
Paraguay,45.1
Nicaragua,46.2
Bulgaria,40.5
Serbia,35
El Salvador,38.8
Congo,48.9
Denmark,27.5
Singapore,45.9
Lebanon,31.8
Finland,27.1
Liberia,35.3
Norway,22.7
Slovakia,23.2
Palestine,33.7
Central African Rep.,43
Ireland,29.2
New Zealand,36.2
Mauritania,32.6
Costa Rica,47.2
Panama,50.9
Croatia,29.5
Georgia,34.2
Mongolia,32.7
Uruguay,40.8
Bosnia and Herz.,33
Qatar,41.1
Moldova,25.7
Namibia,59.1
Armenia,27.9
Lithuania,36
Jamaica,45.5
Albania,29.4
Gambia,38.8
Gabon,38
Botswana,53.3
Lesotho,44.9
Guinea-Bissau,34.8
Slovenia,24
Latvia,35.7
North Macedonia,33.5
Trinidad and Tobago,40.3
Timor-Leste,28.7
Estonia,30.7
Cyprus,31.7
Mauritius,36.8
eSwatini,54.6
Djibouti,41.6
Fiji,30.7
Comoros,45.3
Guyana,45.1
Solomon Is.,37.1
Bhutan,28.5
Macau,35
Montenegro,36.8
Suriname,57.9
Malta,31.4
Maldives,29.3
Cape Verde,42.4
Belize,53.3
Iceland,26.1
Vanuatu,32.3
Sao Tome and Principe,40.7
Samoa,38.7
Saint Lucia,51.2
Kiribati,27.8
Seychelles,32.1
Micronesia,40.1
Tonga,33.5
Jersey,30
Greenland,33.9
Faroe Islands,22.7
Marshall Islands,35.5
Nauru,32.4
Tuvalu,39.1
Falkland Is.,36
United Arab Emirates,26
Azerbaijan,38.2
Montserrat,30
American Samoa,38.7
Bermuda,63
Guernsey,40
Liechtenstein,24.7
Antigua and Barbuda,48
Cuba,46
Kuwait,47.1
Saint Vincent and the Grenadines,48.4
Oman,36.9
Bahrain,41.4
Aruba,41
Bahamas,49
Turks and Caicos Islands,43
Curacao,45
Martinique,35
Eq. Guinea,45
Luxembourg,31.6
Mayotte,33.3
North Korea,38.5
Dominica,43
Tokelau,36
Anguilla,38
Gibraltar,36
Guadeloupe,38
New Caledonia,38
Libya,35
Cayman Islands,39
Palau,42
Barbados,32.3
Kosovo,31.5
Saint Kitts and Nevis,43
Reunion,34
Monaco,29
British Virgin Islands,40
French Guiana,35
Saint Pierre and Miquelon,30
Vatican City,25
Puerto Rico,45
Cook Islands,38
San Marino,31
Grenada,40
Saint Martin,30
Andorra,29
French Polynesia,32
Somaliland,42
Brunei,38
Northern Mariana Islands,35
Saint Barthelemy,33
Guam,34
Isle of Man,29
Wallis and Futuna,36
Niue,30
Sint Maarten,35
Eritrea,36.8
Fr. S. Antarctic Lands,30
W. Sahara,45
N. Cyprus,38
