Country,Income_classification
Afghanistan,Low-income countries
Albania,Upper-middle-income countries
Algeria,Upper-middle-income countries
American Samoa,High-income countries
Andorra,High-income countries
Angola,Lower-middle-income countries
Antigua and Barbuda,High-income countries
Argentina,Upper-middle-income countries
Armenia,Upper-middle-income countries
Aruba,High-income countries
Australia,High-income countries
Austria,High-income countries
Azerbaijan,Upper-middle-income countries
Bahamas,High-income countries
Bahrain,High-income countries
Bangladesh,Lower-middle-income countries
Barbados,High-income countries
Belarus,Upper-middle-income countries
Belgium,High-income countries
Belize,Upper-middle-income countries
Benin,Lower-middle-income countries
Bermuda,High-income countries
Bhutan,Lower-middle-income countries
Bolivia,Lower-middle-income countries
Bosnia and Herz.,Upper-middle-income countries
Botswana,Upper-middle-income countries
Brazil,Upper-middle-income countries
British Virgin Islands,High-income countries
Brunei,High-income countries
Bulgaria,High-income countries
Burkina Faso,Low-income countries
Burundi,Low-income countries
Cambodia,Lower-middle-income countries
Cameroon,Lower-middle-income countries
Canada,High-income countries
Cape Verde,Lower-middle-income countries
Cayman Islands,High-income countries
Central African Rep.,Low-income countries
Chad,Low-income countries
Chile,High-income countries
China,Upper-middle-income countries
Colombia,Upper-middle-income countries
Comoros,Lower-middle-income countries
Congo,Lower-middle-income countries
Costa Rica,Upper-middle-income countries
Côte d'Ivoire,Lower-middle-income countries
Croatia,High-income countries
Cuba,Upper-middle-income countries
Curacao,High-income countries
Cyprus,High-income countries
Czechia,High-income countries
Dem. Rep. Congo,Low-income countries
Denmark,High-income countries
Djibouti,Lower-middle-income countries
Dominica,Upper-middle-income countries
Dominican Rep.,Upper-middle-income countries
Timor-Leste,Lower-middle-income countries
Ecuador,Upper-middle-income countries
Egypt,Lower-middle-income countries
El Salvador,Upper-middle-income countries
Eq. Guinea,Upper-middle-income countries
Eritrea,Low-income countries
Estonia,High-income countries
eswatini,Lower-middle-income countries
Ethiopia,Low-income countries
Faroe Islands,High-income countries
Fiji,Upper-middle-income countries
Finland,High-income countries
France,High-income countries
French Polynesia,High-income countries
Gabon,Upper-middle-income countries
Gambia,Low-income countries
Georgia,Upper-middle-income countries
Germany,High-income countries
Ghana,Lower-middle-income countries
Gibraltar,High-income countries
Greece,High-income countries
Greenland,High-income countries
Grenada,Upper-middle-income countries
Guam,High-income countries
Guatemala,Upper-middle-income countries
Guinea,Lower-middle-income countries
Guinea-Bissau,Low-income countries
Guyana,High-income countries
Haiti,Lower-middle-income countries
Honduras,Lower-middle-income countries
Hong Kong,High-income countries
Hungary,High-income countries
Iceland,High-income countries
India,Lower-middle-income countries
Indonesia,Upper-middle-income countries
Iran,Upper-middle-income countries
Iraq,Upper-middle-income countries
Ireland,High-income countries
Isle of Man,High-income countries
Israel,High-income countries
Italy,High-income countries
Jamaica,Upper-middle-income countries
Japan,High-income countries
Jordan,Lower-middle-income countries
Kazakhstan,Upper-middle-income countries
Kenya,Lower-middle-income countries
Kiribati,Lower-middle-income countries
Kosovo,Upper-middle-income countries
Kuwait,High-income countries
Kyrgyzstan,Lower-middle-income countries
Laos,Lower-middle-income countries
Latvia,High-income countries
Lebanon,Lower-middle-income countries
Lesotho,Lower-middle-income countries
Liberia,Low-income countries
Libya,Upper-middle-income countries
Liechtenstein,High-income countries
Lithuania,High-income countries
Luxembourg,High-income countries
Macau,High-income countries
Madagascar,Low-income countries
Malawi,Low-income countries
Malaysia,Upper-middle-income countries
Maldives,Upper-middle-income countries
Mali,Low-income countries
Malta,High-income countries
Marshall Islands,Upper-middle-income countries
Mauritania,Lower-middle-income countries
Mauritius,Upper-middle-income countries
Mexico,Upper-middle-income countries
Micronesia,Lower-middle-income countries
Moldova,Upper-middle-income countries
